City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,varhaug,NO,58.6147,5.6457,37.99,95,59,20.94,broken clouds
226,mahibadhoo,MV,3.7833,72.9667,83.14,69,53,6.64,light rain
227,garissa,KE,-0.4536,39.6401,75.31,76,15,9.13,few clouds
228,geraldton,AU,-28.7667,114.6,75.2,29,1,21.85,clear sky
229,matara,LK,5.9485,80.5353,74.39,85,100,8.46,overcast clouds
230,pevek,RU,69.7008,170.3133,-5.98,96,100,15.82,light snow
231,otautau,NZ,-46.15,168.0,57.99,91,100,11.99,light rain
232,jinchang,CN,38.4953,102.1739,35.89,41,0,7.49,clear sky
233,gizo,SB,-8.103,156.8419,84.15,69,56,7.67,light rain
234,nome,US,64.5011,-165.4064,21.2,86,90,20.71,snow
235,otjimbingwe,NA,-22.35,16.1333,70.7,78,23,3.49,light rain
236,kodiak,US,57.79,-152.4072,35.6,64,90,20.71,overcast clouds
237,prieska,ZA,-29.6641,22.7474,71.28,55,95,2.86,overcast clouds
238,portland,US,45.5234,-122.6762,50.0,76,90,9.22,overcast clouds
239,najran,SA,17.4924,44.1277,66.2,32,0,2.3,dust
240,seddon,AU,-37.8068,144.8916,64.99,67,66,5.75,broken clouds
241,bethel,US,41.3712,-73.414,30.99,48,64,5.99,broken clouds
242,ust-tsilma,RU,65.441,52.1498,25.57,95,100,8.03,light snow
243,dalbandin,PK,28.8947,64.4101,61.43,21,8,4.68,clear sky
244,labuhan,ID,-6.8844,112.2051,78.04,84,100,6.38,overcast clouds
245,fairbanks,US,64.8378,-147.7164,19.99,56,1,4.61,clear sky
246,codrington,AU,-38.2667,141.9667,64.47,71,88,7.87,overcast clouds
247,york,US,40.1254,-77.0,51.8,20,1,19.57,clear sky
248,bam,IR,29.106,58.357,52.41,35,0,0.58,clear sky
249,charleville-mezieres,FR,49.7667,4.7167,39.99,95,82,8.01,broken clouds
250,shimoda,JP,34.6667,138.95,55.0,43,40,9.22,scattered clouds
251,gladstone,AU,-23.85,151.25,82.4,57,40,3.44,scattered clouds
252,tura,IN,25.5198,90.2201,67.95,45,0,3.15,clear sky
253,sobolevo,RU,54.4299,31.8996,34.72,98,100,11.7,snow
254,dunedin,NZ,-45.8742,170.5036,66.0,59,100,12.57,light rain
255,bani,DO,18.2833,-70.3333,74.43,66,5,16.26,clear sky
256,kaitangata,NZ,-46.2817,169.8464,66.0,62,100,7.49,overcast clouds
257,aloleng,PH,16.1307,119.7824,80.62,65,68,7.52,broken clouds
258,kuusamo,FI,65.9667,29.1833,28.4,86,75,3.44,broken clouds
259,torit,SS,4.4133,32.5678,80.29,43,14,3.87,few clouds
260,price,US,39.5994,-110.8107,48.2,49,90,13.8,overcast clouds
261,vila,PT,42.0304,-8.1588,45.0,87,1,5.99,clear sky
262,kismayo,SO,-0.3582,42.5454,77.47,82,46,11.32,scattered clouds
263,bentiu,SS,9.2333,29.8333,80.92,46,40,3.62,scattered clouds
264,bathsheba,BB,13.2167,-59.5167,78.8,73,40,10.36,scattered clouds
265,grafton,US,42.207,-71.6856,28.0,59,75,16.11,broken clouds
266,sao filipe,CV,14.8961,-24.4956,70.72,70,0,5.17,clear sky
267,alta floresta,BR,-9.8756,-56.0861,72.61,94,99,0.87,overcast clouds
268,nyurba,RU,63.2842,118.3319,-14.42,90,20,8.5,few clouds
269,faya,SA,18.3851,42.4509,62.6,36,0,3.67,clear sky
270,taiobeiras,BR,-15.8078,-42.2331,64.53,86,88,3.38,overcast clouds
271,pemba,MZ,-12.974,40.5178,77.0,94,20,8.05,light rain
272,sao jose de ribamar,BR,-2.5619,-44.0542,78.8,94,40,3.44,scattered clouds
273,kahului,US,20.8947,-156.47,78.8,61,20,14.97,few clouds
274,altay,CN,47.8667,88.1167,20.14,84,100,1.28,overcast clouds
275,jinxi,CN,30.4323,116.2922,63.23,86,71,0.67,light rain
276,sorong,ID,-0.8833,131.25,81.27,79,91,5.19,overcast clouds
277,svetlaya,RU,46.5389,138.3297,40.01,69,0,2.62,clear sky
278,trinidad,BO,-14.8333,-64.9,82.4,83,75,3.47,broken clouds
279,flin flon,CA,54.7682,-101.865,33.8,60,75,11.5,broken clouds
280,kavaratti,IN,10.5669,72.642,82.44,69,8,5.28,clear sky
281,hanyang,CN,32.1371,105.5126,55.0,84,63,3.31,broken clouds
282,kununurra,AU,-15.7667,128.7333,75.2,100,40,10.36,scattered clouds
283,wahpeton,US,46.2652,-96.6059,39.2,48,1,11.5,clear sky
284,haverfordwest,GB,51.8017,-4.9691,50.0,90,92,32.99,overcast clouds
285,jiangyou,CN,31.7667,104.7167,57.56,81,52,3.29,broken clouds
286,kamaishi,JP,39.2667,141.8833,46.4,66,75,8.05,broken clouds
287,kollam,IN,8.8833,76.6,82.4,69,20,7.61,mist
